category,id,area_ha,width_m,slope_pct,impervious_pct,outlet,elevation_m,length_m,diameter_m,manning_n
subcatchment,S1,1.5,120,1.0,55,J1,,,,
subcatchment,S2,2.0,140,1.2,60,J2,,,,
subcatchment,S3,1.8,130,0.9,50,J4,,,,
subcatchment,S4,2.2,150,1.1,65,J6,,,,
subcatchment,S5,2.0,140,0.8,55,J5,,,,
subcatchment,S6,2.5,160,1.0,70,J7,,,,
junction,J1,,,,,,100,,,
junction,J2,,,,,,99,,,
junction,J3,,,,,,98,,,
junction,J4,,,,,,97,,,
junction,J5,,,,,,96,,,
junction,J6,,,,,,98.5,,,
junction,J7,,,,,,97.5,,,
outfall,Out1,,,,,,95,,,
conduit,C1,,,,,J1->J2,,150,0.45,0.013
conduit,C2,,,,,J2->J3,,180,0.50,0.013
conduit,C3,,,,,J3->J4,,200,0.60,0.013
conduit,C4,,,,,J4->J5,,180,0.60,0.013
conduit,C5,,,,,J5->Out1,,250,0.75,0.013
conduit,C6,,,,,J2->J6,,120,0.40,0.013
conduit,C7,,,,,J6->J7,,140,0.45,0.013
conduit,C8,,,,,J7->J5,,160,0.50,0.013
